"","Plot","Year","Tag","Species","DBH","RingWidth","Core","BAI","Genus","Precip","Temp","FireCount","LastBurn","SinceBurn","BurnIn3"
"42","B127",2014,"1491","QUMA",67.9,0.423,"1491-N-1",899.215850414177,"QU",166.476666666667,21.7,6,2013,1,2
"43","B127",2005,"1491","QUMA",67.9,0.26,"1491-E-1",539.932083356017,"QU",55.1233333333333,23.9,6,1995,10,0
"44","B127",2003,"1482","QUAL",59.2,0.748,"1482-N-1",1345.70490767809,"QU",93.34,21.6666666666667,6,1993,10,0
"45","B127",2008,"1491","QUMA",67.9,1.038,"1491-E-1",2169.33631650164,"QU",91.46,21.7666666666667,6,2007,1,3
"46","B127",2000,"1485","QURU",13,1.244,"1485-B-1",466.460108355759,"QU",112.43,21.9,6,1990,10,0
"47","B127",2004,"1491","QUMA",67.9,0.422,"1491-N-1",886.734594969527,"QU",104.996666666667,20.8,6,1994,10,0
"48","B127",2013,"1491","QUMA",67.9,0.471,"1491-N-1",999.931685490344,"QU",75.7033333333333,21.7,6,2013,0,2
"49","B127",2000,"1488","QURU",61,1.814,"1488-W-1",3144.40836255428,"QU",112.43,21.9,6,1990,10,0
"50","B127",2006,"1482","QUAL",59.2,0.702,"1482-E-1",1281.43330039233,"QU",93.5633333333333,22.7,6,2006,0,1
"51","B127",2001,"1482","QUAL",59.2,0.447,"1482-N-1",799.984380167719,"QU",83.6233333333333,22.8333333333333,6,1991,10,0
"52","B127",2009,"1485","QURU",13,0.024,"1485-B-1",9.63257546524809,"QU",95.1233333333333,20.4,6,2007,2,3
"53","B127",2015,"1482","QUAL",59.2,0.519,"1482-N-1",962.122416842519,"QU",138.086666666667,21.2,6,2015,0,3
"54","B127",2007,"1485","QURU",13,0.074,"1485-E-1",29.497720327097,"QU",121.196666666667,22.5666666666667,6,2007,0,3
"55","B127",2005,"1485","QURU",13,0.317,"1485-B-1",126.066078189071,"QU",55.1233333333333,23.9,6,1995,10,0
"56","B127",2001,"1485","QURU",13,0.719,"1485-W-1",274.085671814874,"QU",83.6233333333333,22.8333333333333,6,1991,10,0
"57","B127",2002,"1491","QUMA",67.9,0.654,"1491-E-1",1351.61965956531,"QU",104.563333333333,23.8333333333333,6,1992,10,0
"58","B127",2004,"1485","QURU",13,0.47,"1485-E-1",185.162140914368,"QU",104.996666666667,20.8,6,1994,10,0
"59","B127",2011,"1491","QUMA",67.9,0.247,"1491-N-1",523.5360516065,"QU",129.293333333333,23.1333333333333,6,2007,4,0
"60","B127",2011,"1491","QUMA",67.9,1.023,"1491-E-1",2161.61895959064,"QU",129.293333333333,23.1333333333333,6,2007,4,0
"61","B127",2000,"1488","QURU",61,1.573,"1488-N-1",2725.99895467581,"QU",112.43,21.9,6,1990,10,0
"62","B127",2001,"1482","QUAL",59.2,0.858,"1482-E-1",1548.5246465622,"QU",83.6233333333333,22.8333333333333,6,1991,10,0
"63","B127",2009,"1488","QURU",61,1.375,"1488-N-1",2497.08745942328,"QU",95.1233333333333,20.4,6,2007,2,3
"64","B127",2005,"1485","QURU",13,0.233,"1485-W-1",92.3033442418289,"QU",55.1233333333333,23.9,6,1995,10,0
"65","B127",2008,"1491","QUMA",67.9,0.711,"1491-N-1",1500.97646267932,"QU",91.46,21.7666666666667,6,2007,1,3
"66","B127",2009,"1485","QURU",13,0.052,"1485-E-1",20.7817108017207,"QU",95.1233333333333,20.4,6,2007,2,3
"67","B127",2000,"1491","QUMA",67.9,0.934,"1491-N-1",1949.64903993492,"QU",112.43,21.9,6,1990,10,0
"68","B127",2000,"1491","QUMA",67.9,0.688,"1491-E-1",1416.19417921473,"QU",112.43,21.9,6,1990,10,0
"69","B127",2011,"1488","QURU",61,2.216,"1488-N-1",4090.19263463363,"QU",129.293333333333,23.1333333333333,6,2007,4,0
"70","B127",2015,"1491","QUMA",67.9,0.548,"1491-E-1",1166.06233142786,"QU",138.086666666667,21.2,6,2015,0,3
"71","B127",2007,"1488","QURU",61,0.431,"1488-W-1",768.82297918542,"QU",121.196666666667,22.5666666666667,6,2007,0,3
"72","B127",2001,"1488","QURU",61,1.439,"1488-N-1",2507.39431491981,"QU",83.6233333333333,22.8333333333333,6,1991,10,0
"73","B127",2006,"1491","QUMA",67.9,0.461,"1491-N-1",970.565308868918,"QU",93.5633333333333,22.7,6,2006,0,1
"74","B127",2004,"1491","QUMA",67.9,0.626,"1491-E-1",1298.24788338926,"QU",104.996666666667,20.8,6,1994,10,0
"75","B127",2006,"1488","QURU",61,0.944,"1488-N-1",1692.14232852635,"QU",93.5633333333333,22.7,6,2006,0,1
"76","B127",2000,"1485","QURU",13,0.792,"1485-E-1",301.90112268305,"QU",112.43,21.9,6,1990,10,0
"77","B127",2002,"1491","QUMA",67.9,0.598,"1491-N-1",1253.07073802197,"QU",104.563333333333,23.8333333333333,6,1992,10,0
"78","B127",2002,"1482","QUAL",59.2,0.898,"1482-N-1",1610.92190427261,"QU",104.563333333333,23.8333333333333,6,1992,10,0
"79","B127",2002,"1482","QUAL",59.2,0.721,"1482-E-1",1304.84262358156,"QU",104.563333333333,23.8333333333333,6,1992,10,0
"80","B127",2007,"1491","QUMA",67.9,0.326,"1491-N-1",687.149377049798,"QU",121.196666666667,22.5666666666667,6,2007,0,3
"81","B127",2002,"1485","QURU",13,0.474,"1485-W-1",182.467207337895,"QU",104.563333333333,23.8333333333333,6,1992,10,0
"82","B127",2009,"1482","QUAL",59.2,0.431,"1482-N-1",786.187014171129,"QU",95.1233333333333,20.4,6,2007,2,3
"83","B127",2007,"1482","QUAL",59.2,0.284,"1482-E-1",519.294332895969,"QU",121.196666666667,22.5666666666667,6,2007,0,3
"84","B127",2008,"1485","QURU",13,0.101,"1485-E-1",40.3159297182185,"QU",91.46,21.7666666666667,6,2007,1,3
"85","B127",2016,"1482","QUAL",59.2,0.665,"1482-N-1",1235.25084223421,"QU",142.603333333333,23.3,6,2015,1,2
"86","B127",2005,"1485","QURU",13,0.194,"1485-E-1",76.8333157766866,"QU",55.1233333333333,23.9,6,1995,10,0
"87","B127",2007,"1482","QUAL",59.2,0.378,"1482-N-1",686.42335498754,"QU",121.196666666667,22.5666666666667,6,2007,0,3
"88","B127",2013,"1485","QURU",13,0.386,"1485-E-1",155.425961138494,"QU",75.7033333333333,21.7,6,2013,0,2
